lema,categoria,url,definicion,ejemplos,frases
impulsar,verbo,https://diesgital.com/search?q=impulsar,"en sentido figurado, estimular a alguien a hacer o realizar algo",Algunos profesores te impulsan a ser mejor.,y no sabemos qué lo impulsó a cometer el crimen || y estas notas lo impulsaron a seguir estudiando
impulso,nombre,https://diesgital.com/search?q=impulso,"en sentido figurado, cosa o acción que hace que otra cosa surja, se desarrolle o se intensifique",Estas novedades siempre son buenos impulsos para seguir adelante con todos los proyectos del grupo familiar.,supuso un impulso para la economía || para el impulso de las políticas locales de igualdad || los impulsos para el crecimiento vienen de la demanda interna
impulso,nombre,https://diesgital.com/search?q=impulso,"en sentido figurado, cualquier deseo o motivación que siente una persona hacia algo o alguien que surge de forma espontánea y no es fruto de la reflexión; ganas incontrolables de hacer algo","Ahora veía la importancia de medir sus palabras, actuó por impulso, no pensó en que podría llegar a lastimarla.",que no controla sus impulsos || sentimos el impulso de abrazarlo || tal vez lo que había sucedido no fue más que un impulso pasajero
impulso,nombre,https://diesgital.com/search?q=impulso,"en sentido figurado, fuerza y energía que posee una persona y que la estimula para llevar una tarea a cabo","Carece de fuerza para imponer a un candidato propio, pero le sobra impulso para decidir cuál de los tres propuestos es el mejor.",le falta el impulso para lograr nuevas metas || llegamos con el suficiente impulso para competir || que una mujer con impulso pudiera llegar tan lejos
inclinar,verbo,https://diesgital.com/search?q=inclinar,"en sentido figurado, lograr alguien un resultado concreto",Juan inclinó la votación al presentar sus argumentos de forma tan convincente.,los indecisos inclinaron las elecciones hacia la derecha || y vamos a intentar inclinarle hacia nuestra propuesta
inclinar,verbo,https://diesgital.com/search?q=inclinar,"en sentido figurado, poner una parte del cuerpo más baja o hacia abajo",Ayako se presentó y luego inclinó su cuerpo.,inclinó la cabeza y se marchó || y la gimnasta inclinó su cuerpo hacia adelante
inclinar,verbo,https://diesgital.com/search?q=inclinar,"en sentido figurado, conseguir una cosa, acción, hecho, etc. que alguien actúe de una cierta manera",Sus argumentos me inclinaron a votar por ella.,sus argumentos me inclinaron a apoyar la propuesta
indio,nombre,https://diesgital.com/search?q=indio,"en sentido figurado, persona (hombre o mujer) que tiene modales rústicos y se comporta de forma grosera",,y muchos indios hay por acá
indio,nombre,https://diesgital.com/search?q=indio,"en sentido figurado, persona (hombre o mujer) anónima; se refiere a un individuo o sujeto al que se considera irrelevante y sin capacidad de decisión, en especial para oponerle al ""jefe"", que es quien manda y decide","Lo que el concejal quería era que pudiéramos colgarle en pocas horas el marrón a otro indio, ajuste de cuentas entre ellos. || En mi empresa los jefes organizaban y éramos los indios los que picábamos piedra.",y hay muchos jefes y pocos indios
indio,adjetivo,https://diesgital.com/search?q=indio,"en sentido figurado, referido a una persona (hombre o mujer) que tiene modales rústicos y se comporta de forma grosera",¡No seas indio! Ten un poco de cultura general.,"y chachas, nacos, tipos indios ... denostación de pobres"
indio,nombre,https://diesgital.com/search?q=indio,"en sentido figurado, hombre que tiene modales rústicos y se comporta de forma grosera",No pierdas el tiempo discutiendo con un indio como Morales.,"mierda, mira ese indio"
indio,adjetivo,https://diesgital.com/search?q=indio,"en sentido figurado, referido a un ave gallinácea que tiene la pechuga negra y el plumaje muy colorado",En este artículo encontrará toda la información necesaria para comenzar a crear su gallo indio.,y un gallo indio gigante criado en el interior del estado de Sao Paulo
infantil,adjetivo,https://diesgital.com/search?q=infantil,"en sentido figurado, referido a alguien o algo caracterizado por la inmadurez, el simplismo, la dependencia, falta de lógica y de reflexión",El novio de mi hija es bastante infantil y se enfada por todo.,y no aguanta la actitud infantil de sus jefes || y es un comportamiento infantil más
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a algo que tiene menor medida, volumen o intensidad",Las personas con jornada parcial tienen un horario de trabajo inferior a las que tienen jornada completa.,y estas flores son de calidad inferior || y el gasto calórico ahora es inferior
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a un período que está en la primera parte de las partes en que está dividido; se usa en historia",En el Cretácico inferior aparece sedimentación asociada a zonas de fracturación.,y para estudiar el Paleolítico inferior
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a alguien o algo que es de menor calidad o importancia","Debemos luchar contra la creencia, arraigada en muchas sociedades, que mantiene que la mujer es inferior al hombre.",y no creo que ese actor sea inferior a otros || y siempre desempeñaban papeles inferiroes || e hicieron la mesa con madera inferior
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a una persona menos dotada física, intelectual o moralmente",A los trabajadores inferiores también debemos tenerlos en cuenta en estas negociaciones.,y para proteger a los hombres y mujeres inferiores
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a un ser vivo que es menos complejo y más primitivo que otro; se usa en biología","Los hongos son organismos vegetales inferiores sin clorofila, que se nutren de materiales orgánicos ya elaborados.",y los musgos son plantas inferiores
inferior,adjetivo,https://diesgital.com/search?q=inferior,"en sentido figurado, referido a un lugar o país que está situado en la zona menos elevada o en la cuenca baja de un río; se usa en geografía","Era la diosa de la parte oriental del delta, y era venerada en Bubastis, en el Egipto inferior.",en la ribera inferior había muchas huertas
ingeniero,nombre,https://diesgital.com/search?q=ingeniero,"en sentido figurado, persona que es muy hábil planificando algo o resolviendo problemas de una manera creativa y eficiente",Todos esos son los ingenieros que nos metieron en este problema y ahora no saben cómo salir de él.,y eso se lo dejamos a esos ingenieros que saben tanto
ingeniero,nombre,https://diesgital.com/search?q=ingeniero,"en sentido figurado, hombre que es muy hábil planificando algo o resolviendo problemas de una manera creativa y eficiente",Menudo ingeniero eres tú. No haces más que complicar todo.,y no se sabe quién fue el ingeniero que nos embarcó en esta bazofia
inglés,nombre,https://diesgital.com/search?q=inglés,"en sentido figurado, persona o entidad internacional que presta o ha prestado dinero a otra persona o entidad","Los ingleses eran prestamistas, especialmente durante épocas en las que Inglaterra tenía un papel destacado en la economía mundial.",y porque los ingleses son prestamistas internacionales
